time	od
980	0.1036
1827	0.1018
2673	0.1029
3520	0.1026
4366	0.1046
5215	0.107
6061	0.1078
6908	0.1107
7757	0.1151
8604	0.1184
9452	0.1239
10300	0.1288
11143	0.1356
11984	0.1447
12829	0.1531
13673	0.164
14518	0.1718
15376	0.1863
16223	0.2028
17069	0.2199
17916	0.2409
18766	0.2607
19613	0.2866
20459	0.3149
21305	0.3401
22151	0.3719
22997	0.4058
23843	0.4478
24689	0.4838
25539	0.5213
26385	0.5803
27231	0.6089
28077	0.6567
28923	0.7116
29769	0.7629
30616	0.808
31462	0.863
32308	0.9066
33154	0.9392
34000	0.9601
34846	0.9765
35692	0.9839
36538	0.9913
37384	0.9967
38230	1.0028
39076	1.0021
39924	1.0108
40770	1.0172
41616	1.0218
42463	1.0297
43309	1.0335
44155	1.0385
45001	1.0481
45847	1.0522
46693	1.0584
47539	1.0653
48386	1.0693
49233	1.0741
50079	1.0817
50925	1.0836
51772	1.0892
52618	1.0972
53465	1.1045
54311	1.1024
55157	1.1133
56004	1.1236
56848	1.1287
57691	1.1373
58537	1.1429
59384	1.1491
60231	1.1537
61077	1.1596
61924	1.1676
62771	1.1684
63617	1.1662
64467	1.1681
65314	1.1709
66160	1.1729
67007	1.1731
67853	1.173
68699	1.1713
69545	1.171
70391	1.1754
71238	1.1716
72084	1.176
72930	1.1749
73776	1.1747
74622	1.1782
75468	1.1754
76314	1.1729
77161	1.1783
78007	1.1741
78853	1.1717
79699	1.1721
80545	1.1759
81391	1.1734
82238	1.1766
83084	1.1738
83930	1.1789
84776	1.174
85622	1.1754
86468	1.1752
87315	1.1715
88161	1.1765
89007	1.1711
89853	1.1713
90699	1.1733
91546	1.1738
92392	1.1735
93238	1.1706
94084	1.1784
94930	1.173
95777	1.1762
96623	1.1759
97469	1.1723
98315	1.1753
99162	1.1713
100008	1.1769
100854	1.1756
101700	1.1702
102546	1.1715
103393	1.172
104239	1.1724
105085	1.1713
105927	1.1743
106774	1.1768
107620	1.1732
108466	1.1732
109312	1.178
110155	1.1718
111001	1.1711
111847	1.1727
112690	1.1747
113536	1.1746
114382	1.1717
115228	1.1724
116115	1.192
116961	1.1755
117803	1.174
118649	1.1762
119496	1.1741
120342	1.1755
121188	1.1751
122034	1.1743
122885	1.1761
123731	1.1731
124577	1.1741
125423	1.1722
126270	1.1736
127116	1.1735
127962	1.1732
128808	1.1721
129700	1.1745
130542	1.1745
131388	1.1769
132235	1.1753
133081	1.1735
133938	1.1754
134786	1.1756
135630	1.1657
136478	1.1717
137322	1.1653
138168	1.1668
139016	1.17
139864	1.1717
