plate	well	strain	background
nonfloc_P1	A01	empty	empty
nonfloc_P1	A02	seg_01B	SxY
nonfloc_P1	A03	seg_03D	SxY
nonfloc_P1	A04	seg_06C	SxY
nonfloc_P1	A05	seg_09A	SxY
nonfloc_P1	A06	seg_11D	SxY
nonfloc_P1	A07	seg_14A	SxY
nonfloc_P1	A08	seg_16C	SxY
nonfloc_P1	A09	seg_19A	SxY
nonfloc_P1	A10	seg_21C	SxY
nonfloc_P1	A11	seg_24B	SxY
nonfloc_P1	A12	seg_26B	SxY
nonfloc_P1	B01	empty	empty
nonfloc_P1	B02	seg_01C	SxY
nonfloc_P1	B03	seg_04B	SxY
nonfloc_P1	B04	seg_06D	SxY
nonfloc_P1	B05	seg_09C	SxY
nonfloc_P1	B06	seg_12A	SxY
nonfloc_P1	B07	seg_14C	SxY
nonfloc_P1	B08	seg_17A	SxY
nonfloc_P1	B09	seg_19B	SxY
nonfloc_P1	B10	seg_21D	SxY
nonfloc_P1	B11	seg_24C	SxY
nonfloc_P1	B12	seg_26C	SxY
nonfloc_P1	C01	S96	S96
nonfloc_P1	C02	seg_01D	SxY
nonfloc_P1	C03	seg_04C	SxY
nonfloc_P1	C04	seg_07A	SxY
nonfloc_P1	C05	seg_09D	SxY
nonfloc_P1	C06	seg_12B	SxY
nonfloc_P1	C07	seg_14D	SxY
nonfloc_P1	C08	seg_17B	SxY
nonfloc_P1	C09	seg_19C	SxY
nonfloc_P1	C10	seg_22A	SxY
nonfloc_P1	C11	seg_24D	SxY
nonfloc_P1	C12	seg_27A	SxY
nonfloc_P1	D01	S96	S96
nonfloc_P1	D02	seg_02B	SxY
nonfloc_P1	D03	seg_04D	SxY
nonfloc_P1	D04	seg_07C	SxY
nonfloc_P1	D05	seg_10A	SxY
nonfloc_P1	D06	seg_12C	SxY
nonfloc_P1	D07	seg_15A	SxY
nonfloc_P1	D08	seg_17C	SxY
nonfloc_P1	D09	seg_20A	SxY
nonfloc_P1	D10	seg_22D	SxY
nonfloc_P1	D11	seg_25A	SxY
nonfloc_P1	D12	seg_27B	SxY
nonfloc_P1	E01	S96	S96
nonfloc_P1	E02	seg_02C	SxY
nonfloc_P1	E03	seg_05B	SxY
nonfloc_P1	E04	seg_07D	SxY
nonfloc_P1	E05	seg_10B	SxY
nonfloc_P1	E06	seg_12D	SxY
nonfloc_P1	E07	seg_15B	SxY
nonfloc_P1	E08	seg_17D	SxY
nonfloc_P1	E09	seg_20B	SxY
nonfloc_P1	E10	seg_23A	SxY
nonfloc_P1	E11	seg_25B	SxY
nonfloc_P1	E12	seg_27C	SxY
nonfloc_P1	F01	YJM789	YJM789
nonfloc_P1	F02	seg_02D	SxY
nonfloc_P1	F03	seg_05C	SxY
