GENios;   Serial number: 12900400814;   Firmware: V 6.02 16_06_2004 Genios;   XFLUOR4 Version: V 4.51						
Date:					28/7/07	
Time:					14:02	

Comment to this measurement:					YJM789 BY4741 Y06913 MnCl2 conc. growth 30C	
Measurement mode:					Absorbance	
Measurement wavelength:					595	nm
Number of flashes:					3	
Plate definition file:					NUNC48rdft.pdf	
Number of kinetic cycles:					100	
Kinetic interval (Minimal):					1032	s
Valid temparature range:					29 - 31	°C
Shake duration between cycles (Orbital High):					1000	s
Target Temperature:					30	°C
Current Temperature:					30	°C

Rawdata					Temperature: 29.8 °C																																													
Cycle No.	Time	Temp.	A1	B1	C1	D1	E1	F1	A2	B2	C2	D2	E2	F2	A3	B3	C3	D3	E3	F3	A4	B4	C4	D4	E4	F4	A5	B5	C5	D5	E5	F5	A6	B6	C6	D6	E6	F6	A7	B7	C7	D7	E7	F7	A8	B8	C8	D8	E8	F8
1	0	29.8	0.0659	0.0644	0.0642	0.0652	0.0675	0.0686	0.1121	0.1040	0.1236	0.1261	0.1111	0.1045	0.1393	0.1372	0.1628	0.1614	0.1576	0.1537	0.1040	0.1188	0.1339	0.1368	0.1208	0.1131	0.0952	0.1124	0.1029	0.1164	0.0897	0.1025	0.1251	0.1317	0.1571	0.1366	0.1344	0.1336	0.0993	0.1134	0.1150	0.1228	0.1003	0.0905	0.1045	0.0788	0.0788	0.1079	0.0745	0.1177
2	1033	29.8	0.0661	0.0639	0.0640	0.0652	0.0672	0.0676	0.2218	0.1690	0.2086	0.2168	0.1970	0.1385	0.1845	0.1865	0.2130	0.2103	0.1936	0.1792	0.1894	0.1697	0.2050	0.2293	0.1575	0.1444	0.1390	0.1556	0.1729	0.1392	0.1364	0.1566	0.1522	0.1862	0.2088	0.1872	0.1741	0.1577	0.1269	0.1574	0.1689	0.1498	0.1681	0.1268	0.1052	0.0786	0.0790	0.1078	0.0747	0.0801
3	2066	29.9	0.0658	0.0635	0.0638	0.0643	0.0673	0.0670	0.2680	0.2367	0.2288	0.2086	0.2016	0.1391	0.1812	0.2288	0.2522	0.2092	0.2295	0.1955	0.2717	0.1876	0.2394	0.1783	0.1630	0.1385	0.1547	0.2043	0.1803	0.1473	0.1356	0.1439	0.1807	0.2107	0.2254	0.2086	0.1670	0.1706	0.1440	0.1977	0.1961	0.1645	0.1424	0.1257	0.1049	0.0779	0.0794	0.1086	0.0743	0.0788
4	3099	29.9	0.0654	0.0632	0.0632	0.0645	0.0666	0.0678	0.3016	0.2272	0.2112	0.1909	0.2083	0.1318	0.1807	0.2133	0.2853	0.2210	0.2642	0.1818	0.2654	0.2239	0.2577	0.1891	0.1590	0.1357	0.1609	0.2239	0.2130	0.1504	0.1349	0.1396	0.1972	0.2230	0.3341	0.2007	0.1888	0.1704	0.1391	0.2067	0.1994	0.1510	0.1681	0.1398	0.1042	0.0776	0.0791	0.1078	0.0744	0.0790
5	4132	30.0	0.0655	0.0628	0.0632	0.0637	0.0669	0.0669	0.2424	0.1898	0.2306	0.1844	0.1739	0.1289	0.2436	0.2054	0.3385	0.2235	0.2428	0.1788	0.2168	0.2059	0.2388	0.1822	0.1601	0.1330	0.1724	0.3249	0.2186	0.1597	0.1385	0.1412	0.2320	0.2434	0.3502	0.1991	0.1961	0.1533	0.1352	0.1821	0.2030	0.1552	0.1668	0.1423	0.1045	0.0776	0.0786	0.1077	0.0757	0.0781
6	5164	30.1	0.0657	0.0625	0.0626	0.0636	0.0660	0.0675	0.2049	0.1849	0.2437	0.1867	0.1708	0.1316	0.2543	0.1945	0.2944	0.2168	0.2861	0.1882	0.1968	0.1858	0.2706	0.1893	0.1608	0.1350	0.1930	0.2235	0.2265	0.1741	0.1391	0.1413	0.2208	0.2633	0.2995	0.2090	0.1891	0.1738	0.1341	0.1907	0.2265	0.1778	0.1477	0.1325	0.1044	0.0782	0.0787	0.1090	0.0739	0.0796
7	6197	29.9	0.0660	0.0630	0.0629	0.0641	0.0660	0.0671	0.1903	0.1952	0.2372	0.1829	0.1727	0.1365	0.2596	0.2476	0.2993	0.2299	0.2810	0.1765	0.1820	0.1789	0.2775	0.1984	0.1599	0.1406	0.2012	0.2154	0.2313	0.1812	0.1568	0.1412	0.2623	0.2884	0.3116	0.2181	0.1829	0.1844	0.1386	0.2089	0.2067	0.1817	0.1787	0.1462	0.1048	0.0768	0.0784	0.1070	0.0740	0.0801
8	7230	29.9	0.0663	0.0630	0.0626	0.0643	0.0669	0.0675	0.1895	0.1921	0.2475	0.1941	0.1694	0.1357	0.2842	0.2182	0.2962	0.2407	0.2282	0.2041	0.2087	0.1781	0.2687	0.1976	0.1665	0.1371	0.2310	0.2271	0.2378	0.1965	0.1888	0.1494	0.2819	0.2959	0.3581	0.2495	0.1966	0.1841	0.1396	0.2092	0.2194	0.1604	0.1805	0.1354	0.1042	0.0789	0.0784	0.1083	0.0770	0.0785
9	8263	29.9	0.0653	0.0628	0.0635	0.0638	0.0664	0.0672	0.1848	0.1988	0.2547	0.1932	0.1685	0.1394	0.2504	0.2424	0.3125	0.2501	0.2367	0.1787	0.1779	0.1813	0.2525	0.1946	0.1649	0.1386	0.2158	0.2129	0.2321	0.1849	0.1952	0.1526	0.2730	0.2853	0.4203	0.2277	0.1935	0.1867	0.1373	0.2024	0.2057	0.1670	0.1574	0.1465	0.1041	0.0767	0.0799	0.1084	0.0744	0.0787
10	9296	30.0	0.0659	0.0632	0.0629	0.0637	0.0662	0.0671	0.1892	0.1866	0.2482	0.1986	0.1756	0.1396	0.2442	0.2092	0.3133	0.2379	0.2215	0.1832	0.2017	0.1864	0.2677	0.2046	0.1671	0.1517	0.2125	0.2166	0.2409	0.1891	0.2139	0.1688	0.2760	0.3193	0.3690	0.2571	0.2268	0.1987	0.1412	0.1991	0.2270	0.1732	0.1558	0.1399	0.1047	0.0776	0.0792	0.1081	0.0745	0.0789
